"Rank","Company","State","Industry","Score","Environmental.Score","Social.Score","Corporate.Governance","HTICK","date","SICCD","PRC","RET","SHROUT","sprtrn","ind","fyear","at","revt"
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20190531,3674,52.03,-0.070063,4280733,-0.065778,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20190628,3674,54.73,0.051893,4280733,0.06893,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20190731,3674,55.4,0.018637,4249561,0.013128,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20190830,3674,46.81,-0.155054,4245290,-0.018092,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20190930,3674,49.41,0.055544,4245290,0.017181,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20191031,3674,47.51,-0.03137,4241000,0.020432,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20191129,3674,45.31,-0.046306,4242263,0.034047,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20191231,3674,47.96,0.058486,4242263,0.02859,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20200131,3674,45.97,-0.034195,4241000,-0.001628,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20200228,3674,39.93,-0.13139,4240880,-0.08411,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20200331,3674,39.31,-0.015527,4240880,-0.125119,"m",2019,97793,51904
2,"Cisco","California","Technology Hardware",91.2,94.2,87,92.4,"CSCO",20200430,3674,42.38,0.087255,4220000,0.126844,"m",2019,97793,51904
3,"Dell","Texas","Technology Hardware",90.3,96.6,81.7,92.6,"DELL",20190531,3824,59.55,-0.1166,172992,-0.065778,"m",2019,118861,92154
3,"Dell","Texas","Technology Hardware",90.3,96.6,81.7,92.6,"DELL",20190628,3824,50.8,-0.146935,173083,0.06893,"m",2019,118861,92154
3,"Dell","Texas","Technology Hardware",90.3,96.6,81.7,92.6,"DELL",20190731,3824,57.74,0.136614,173083,0.013128,"m",2019,118861,92154
3,"Dell","Texas","Technology Hardware",90.3,96.6,81.7,92.6,"DELL",20190830,3824,51.53,-0.107551,173083,-0.018092,"m",2019,118861,92154
3,"Dell","Texas","Technology Hardware",90.3,96.6,81.7,92.6,"DELL",20190930,3824,51.86,0.006404,231577,0.017181,"m",2019,118861,92154
3,"Dell","Texas","Technology Hardware",90.3,96.6,81.7,92.6,"DELL",20191031,3824,52.89,0.019861,231577,0.020432,"m",2019,118861,92154
